"rank","Player","GP","alpha","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
721,"TG Southee",95,2.77831739972858,2.49611049025557,3.09218001013103,717,578,777,199,0,0
722,"Mujeeb Ur Rahman",37,2.77241628501599,2.28580895664155,3.27607788109178,719,448.95,801,352.05,0,0
723,"PR Reiffel",57,2.77217544259236,2.4132356680938,3.15473669731801,715,534,789,255,0,0
724,"WPUJC Vaas",218,2.77114426621546,2.5303235743772,3.01159408135166,716,621.975,772,150.025,0,0
725,"NAM McLean",34,2.77042146764225,2.32252365498324,3.26021051496893,718,466.95,799,332.05,0,0
726,"CPH Ramanayake",34,2.76546607202638,2.2833878578304,3.27100354169608,717,449.975,802,352.025,0,0
727,"PVD Chameera",36,2.76429516750274,2.36435908159072,3.22988958983776,724,484.95,795,310.05,0,0
728,"Mohammad Sami",43,2.76407894413338,2.31163560206171,3.21198209874809,717,502.975,798,295.025,0,0
729,"JE Emburey",45,2.76232110595112,2.33897747662858,3.22318738659714,720,490.925,797.025,306.1,0,0
730,"MA Starc",70,2.75084849190983,2.44451639366826,3.10256386672392,724,574.925,786,211.075,0,0
731,"SCJ Broad",66,2.75027710177499,2.38824141140049,3.10169345642826,721,569.975,790,220.025,0,0
732,"SK Warne",106,2.74901594213905,2.47275625811793,3.01871038950303,723,620,778,158,0,0
733,"IDR Bradshaw",34,2.74349710045374,2.29018110509023,3.21095977250953,724,495.95,798.025,302.075,0,0
734,"WB Rankin",31,2.74078169068254,2.16074314088697,3.35820475382713,725.5,394,809,415,0,0
735,"Mohammad Rafique",108,2.7400975947486,2.47502535538651,3.03669901784205,725,609.975,781,171.025,0,0
736,"SN Netravalkar",33,2.72616602459917,2.21311669918247,3.28531965808832,730.5,446.95,806,359.05,0,0
737,"R Rampaul",36,2.72310178481217,2.32694296083687,3.13046024010528,728,557.775,798.025,240.25,0,0
738,"Z Khan",95,2.72037418897875,2.42013796818912,3.04530027894146,732,604.975,787.025,182.05,0,0
739,"ML Nkala",35,2.72021434485557,2.26925563585703,3.20273163952564,732,514.975,802,287.025,0,0
740,"AO Suji",46,2.72008037676376,2.40528647502391,3.08814422922705,730.5,585.975,790,204.025,0,0
741,"S Prasanna",36,2.71612089790157,2.32512847758502,3.13928907411269,733,550.85,797,246.15,0,0
742,"HA Varaiya",37,2.71424964939943,2.26173625508818,3.2062896918074,734,507.9,803,295.1,0,0
743,"D Gough",84,2.71008376560305,2.3695755172516,3.07713382911828,734,591,793,202,0,0
744,"M Ntini",42,2.70381008340637,2.19580196322711,3.22800385134277,735,497.8,806.025,308.225,0,0
745,"CEL Ambrose",94,2.70368616972938,2.35842158388958,3.07129249358267,736,588.975,794,205.025,0,0
746,"GP Swann",48,2.6943914026413,2.33159016684781,3.08294568748296,738,590.975,796.025,205.05,0,0
747,"RAS Lakmal",46,2.69145006109419,2.255233536912,3.18011038233504,738,524.975,803,278.025,0,0
748,"Imran Tahir",32,2.6913376972585,2.1027498776004,3.34474596325019,742,397.95,811.025,413.075,0,0
749,"Harbhajan Singh",125,2.68660440000673,2.42627434264316,2.95959444167765,739.5,644.975,786.025,141.05,0,0
750,"A Kumble",133,2.67530971718423,2.36170782136968,2.98224421870773,743,629,792.025,163.025,0,0
751,"Ahmed Raza",41,2.67261673123596,2.29238786781087,3.07095227014498,740,587.95,801,213.05,0,0
752,"RM Hogg",34,2.66480462910877,2.13342204505535,3.17597072942213,746,514.975,810,295.025,0,0
753,"Kuldeep Yadav",38,2.66274494550264,2.19314187691459,3.18743967196125,746,522.975,806.025,283.05,0,0
754,"SP Narine",42,2.65882233853244,2.25648384246742,3.10897689929761,745,573,804,231,0,0
755,"TJ Murtagh",36,2.65822300507323,2.16403911711788,3.23849024895986,749,479.975,808,328.025,0,0
756,"Sarfraz Nawaz",30,2.65303709704829,2.20255699273278,3.17847666269097,750,520.925,808,287.075,0,0
